Date,AAPL,AMT,AMZN,BAC,CAT,CVX,DUK,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,META,MSFT,NEE,NVDA,PFE,PG,PLD,SHW,SLB,TSLA,UNH,UPS,VZ,WMT,XOM
2016-05-01,22.59552764892578,82.37138366699219,36.13949966430664,11.857404708862305,57.77822494506836,65.4341812133789,51.519737243652344,37.13557815551758,129.85171508789062,103.99687957763672,82.69727325439453,85.59407043457031,50.0240592956543,32.60121154785156,92.50919342041016,117.88490295410156,46.634117126464844,23.265708923339844,1.1437113285064697,20.904409408569336,61.694515228271484,35.74485397338867,88.48282623291016,57.48979949951172,14.881999969482422,113.46807098388672,69.91221618652344,29.924192428588867,19.731550216674805,57.194435119628906
2016-06-01,21.763303756713867,88.46862030029297,35.78099822998047,10.63879680633545,60.40776062011719,68.63345336914062,57.09089279174805,34.88814926147461,121.47264099121094,101.03034210205078,84.94636535644531,92.79163360595703,47.625186920166016,33.13482666015625,94.63958740234375,113.39017486572266,45.338829040527344,25.442659378051758,1.1537989377975464,21.40159797668457,64.45796966552734,36.880435943603516,89.52397918701172,59.96946334838867,14.152000427246094,119.86007690429688,73.6125717163086,32.82842254638672,20.505046844482422,60.73313522338867
2016-07-01,23.723369598388672,90.59685516357422,37.94049835205078,11.656295776367188,65.94574737548828,67.09487915039062,56.9577751159668,39.24266052246094,129.83621215820312,109.37767791748047,84.9537124633789,95.79801177978516,49.02772903442383,32.13675308227539,98.80441284179688,122.9749526977539,50.22092819213867,25.03097915649414,1.4014445543289185,22.422752380371094,65.15836334228516,41.330787658691406,91.37136840820312,61.06144714355469,15.652667045593262,122.11132049560547,73.87225341796875,32.575626373291016,20.49099349975586,57.62977981567383
2016-08-01,24.153627395629883,88.72653198242188,38.45800018310547,12.98361587524414,65.92935943603516,65.85093688964844,53.01154327392578,39.16876983642578,138.54322814941406,106.11785888671875,85.2311782836914,91.29227447509766,52.13589859008789,31.98942756652832,103.46741485595703,125.13797760009766,50.91203308105469,23.59689712524414,1.505509614944458,21.152395248413086,66.98863220214844,40.2840690612793,86.48772430419922,59.9088020324707,14.133999824523926,116.01432800292969,74.63763427734375,31.075485229492188,20.06135368347168,56.457096099853516
2016-09-01,25.875207901000977,88.68738555908203,41.865501403808594,12.64803409576416,71.41610717773438,68.09294128417969,53.807373046875,39.873443603515625,132.36300659179688,102.33576202392578,85.58164978027344,90.9695053100586,51.43303680419922,31.171829223632812,102.44154357910156,127.271240234375,51.35417938232422,24.034093856811523,1.6848328113555908,20.75823974609375,68.86070251464844,40.6102180480957,84.58226776123047,59.63578796386719,13.60200023651123,119.3825912475586,75.2626724243164,30.867630004882812,20.390947341918945,57.02999496459961
2016-10-01,25.987361907958984,92.1583251953125,39.49100112915039,13.334991455078125,67.1441879272461,69.30368041992188,53.7939338684082,40.16305160522461,146.29122924804688,97.03130340576172,80.93843841552734,89.321533203125,53.49529266357422,31.485902786254883,99.85197448730469,129.9700927734375,53.422603607177734,25.15013313293457,1.749747633934021,19.43442153930664,66.59732818603516,39.88877487182617,74.86015319824219,59.702919006347656,13.182000160217285,121.0732650756836,74.16151428222656,28.56354331970215,19.797197341918945,54.442481994628906
2016-11-01,25.296131134033203,80.42522430419922,37.528499603271484,17.068788528442383,77.5573501586914,73.80925750732422,49.59233093261719,38.47599792480469,179.9832000732422,102.90836334228516,84.08211517333984,85.70988464355469,62.37214279174805,29.963592529296875,102.61566925048828,117.49793243408203,53.72574234008789,22.44452476501465,2.267099142074585,19.697959899902344,63.75592041015625,38.92520523071289,82.1395263671875,64.14461517333984,12.626667022705078,135.62811279296875,79.77729797363281,29.970399856567383,19.91312026977539,57.04307556152344
2016-12-01,26.64531707763672,83.10685729980469,37.493499755859375,17.927074432373047,75.26860809326172,78.65111541748047,52.7747802734375,39.29770278930664,197.1387939453125,107.1964340209961,85.99713897705078,89.33396911621094,67.13349151611328,31.048160552978516,99.96287536621094,114.15419006347656,55.77615737915039,23.6520938873291,2.6285512447357178,20.104877471923828,65.00847625732422,40.37057113647461,82.42144775390625,64.0682601928711,14.246000289916992,137.64749145507812,79.44954681396484,32.06052017211914,19.542736053466797,59.499412536621094
2017-01-01,27.917537689208984,81.83776092529297,41.17399978637695,18.365100860595703,77.63851165771484,74.4078369140625,53.400306701660156,40.67333221435547,188.79876708984375,109.99463653564453,87.83063507080078,87.81417083740234,65.84203338623047,31.13052749633789,101.66674041748047,129.30528259277344,58.02912139892578,24.49554443359375,2.68863844871521,19.640625,67.73004150390625,37.663108825683594,93.17729187011719,64.26309204101562,16.795333862304688,139.41921997070312,75.63095092773438,29.435853958129883,19.00487518310547,55.30030059814453
2017-02-01,31.515634536743164,90.76478576660156,42.25199890136719,20.019914627075195,79.1010513305664,75.17630004882812,56.12675094604492,41.90019989013672,204.22735595703125,115.85501098632812,92.41815948486328,94.76176452636719,70.89232635498047,31.42259407043457,101.89850616455078,134.484619140625,57.42772674560547,25.936920166015625,2.499019145965576,21.120025634765625,70.97099304199219,39.35930252075195,94.62796783447266,61.69132995605469,16.666000366210938,142.24032592773438,73.29540252685547,30.126911163330078,20.19802474975586,53.60615158081055
