date,lp_return,ew_return,period,lp_cum,ew_cum
2019-06-01,0.09439135749866696,0.08516451868678165,1,1.094391357498667,1.0851645186867818
2019-07-01,0.018286154825342453,0.022729137448217984,1,1.1144035673014043,1.109829372185943
2019-08-01,-0.01833292399859123,-0.017678213483714428,1,1.0939732913983087,1.090209571613943
2019-09-01,0.018628591603326618,0.026644990674088296,2,1.1143524730687149,1.1192581954823984
2019-10-01,0.059010609703503664,0.041846209447728586,2,1.180111091929107,1.1660949083566414
2019-11-01,0.03852129323064353,0.028734306576012083,2,1.225570497346043,1.199601836950088
2019-12-01,0.07257003694912968,0.043683722968998244,3,1.3145101936222088,1.252004911268517
2020-01-01,0.08610905772165936,0.007485664342156421,3,1.4277014277605333,1.2613769997890043
2020-02-01,-0.021731361863014772,-0.07588649180536385,3,1.3966755314015264,1.1656555244310416
2020-03-01,-0.0537017101496828,-0.10743281526230905,4,1.3216716668410475,1.0404258698153515
2020-04-01,0.1744894718893569,0.1384926333658888,4,1.5522894579992679,1.184517188348075
2020-05-01,0.08132346541630844,0.04905036161450854,4,1.6785270160529715,1.242618184775149
2020-06-01,0.09720805418381323,0.01742240147885304,5,1.841693361178443,1.2642675776752252
2020-07-01,0.13472206557548833,0.08407691211327556,5,2.0898100949530667,1.370563291691089
2020-08-01,0.19239607980151804,0.07988761750036376,5,2.491881364751675,1.4800543276977463
2020-09-01,-0.05496630023160019,-0.035447847108703016,6,2.354911865515205,1.4275895881769425
2020-10-01,-0.039257900776740226,-0.02181042655993204,6,2.2624629691608407,1.3964532503062856
2020-11-01,0.1152038749360727,0.12050954608186665,6,2.5231074701075418,1.5647391976252434
2020-12-01,0.06397941436494158,0.033328602210431435,7,2.6845344084248315,1.6168897679059646
2021-01-01,0.01753143001493292,-0.005441505835322078,7,2.731598135528811,1.6080914527988317
2021-02-01,-0.04741491744807424,0.026200859786918915,7,2.602079635431399,1.6502248314781567
2021-03-01,0.015660926117149254,0.06419730878100685,8,2.6428306123528285,1.7561648245426449
2021-04-01,0.08530178291865696,0.05563469856590103,8,2.8682687755385303,1.8538685251881135
2021-05-01,-0.027854126361466315,0.01723059437612187,8,2.788375654626032,1.8858117817722893
2021-06-01,0.07195338740201056,0.017120347495221178,9,2.9890087283256737,1.9180975347868132
2021-07-01,0.006173006318178372,0.018224884838935407,9,3.0074598980907186,1.9530546414681489
2021-08-01,0.061204605375163125,0.03378139291519347,9,3.1915302943349895,2.019031547696427
2021-09-01,-0.056733095985509414,-0.04034361805439911,10,3.010464899805821,1.93757651009638
2021-10-01,0.16688524968148769,0.09741446774734476,10,3.5128670862672706,2.1263244945471764
2021-11-01,0.05849984489809384,-0.004357819915316501,10,3.7183692659615244,2.1170583553184135
2021-12-01,0.0050299548926096525,0.05078434381884568,11,3.7370724956433765,2.2245717747194638
2022-01-01,-0.10018388081710923,-0.03404431400058032,11,3.3626780701349435,2.1488377547040862
2022-02-01,-0.08490930796290837,-0.040694557387950483,11,3.077155402297737,2.0613917533778863
2022-03-01,0.08197342392710891,0.05547868843838022,12,3.3294003665798826,2.1757550642129844
2022-04-01,-0.14755952923473248,-0.06499645109007986,12,2.8381156158534093,2.0343387065978713
2022-05-01,-0.04907945613448238,0.010617800414539542,12,2.6988224449805425,2.0559389089601003
2022-06-01,-0.1002930396722994,-0.08096836237505128,13,2.428149338437617,1.8894729023584516
2022-07-01,0.14153585869605614,0.08340592663529549,13,2.771819540095646,2.0470661406319395
2022-08-01,-0.0541665446652303,-0.039461746324388,13,2.621679653173097,1.966285335881078
2022-09-01,-0.10147167797373684,-0.09389165528008807,14,2.355653419656018,1.7816675509422397
2022-10-01,0.10119189663017286,0.08635459199181535,14,2.594026456994363,1.9355227253689138
2022-11-01,0.03739772186809158,0.06936062462270645,14,2.6910371369515094,2.069771790571945
2022-12-01,-0.09494340341587171,-0.04740788228804275,15,2.4355409124508296,1.9716482931613988
2023-01-01,0.1348518789313578,0.05651847015173177,15,2.7639781807090174,2.083082838368154
2023-02-01,0.027212409334990164,-0.02203860762838429,15,2.8391926863554526,2.0371745930359375
2023-03-01,0.05161837304895222,0.03289803684853083,16,2.985747193597605,2.1041936378645243
2023-04-01,-0.021982274558911996,0.020048089198229816,16,2.9201136790244413,2.14637869960678
2023-05-01,0.03573593456105512,-0.008697523922818133,16,3.0244666703689003,2.127710519519523
2023-06-01,0.12351381676808874,0.06866500627879898,17,3.398030092514036,2.273809775701798
2023-07-01,0.06059084312603394,0.04059524737730506,17,3.603919600787097,2.3661156460353467
2023-08-01,-0.012023330580321944,-0.021612354912429493,17,3.560588484041932,2.3149783149293786
2023-09-01,-0.01810077353233986,-0.03875493244369092,18,3.496139078250432,2.2252614867256812
2023-10-01,-0.10579399969706656,-0.02914386839005746,18,3.126268541665103,2.1604087588230843
2023-11-01,0.07105403530391624,0.07707186262233481,18,3.3484025369940977,2.326915485891186
2023-12-01,0.04209889213171794,0.04623377188946974,19,3.4893665742125832,2.4344975656719536
2024-01-01,0.004523069820784175,3.619868625540956e-05,19,3.5051492228580567,2.434585691285523
2024-02-01,0.0826579330737294,0.04424902716562299,19,3.7948776127344925,2.542313739676253
2024-03-01,0.08157070548525396,0.041825680842558804,20,4.104428456835441,2.6486477427536044
2024-04-01,-0.06311031131893043,-0.04186673484376389,20,3.8453966991382793,2.5377575100132055
2024-05-01,0.059712836110463095,0.053896666613667564,20,4.075016242013639,2.6745341804767184
2024-06-01,0.04045441457442451,0.021312189146871368,21,4.239868638465572,2.7315343588108107
2024-07-01,-0.00858868342358281,0.042202796380881494,21,4.203453748972215,2.846812747163085
2024-08-01,0.00019841118851127363,0.017330245496985513,21,4.204287761226401,2.896148710955369
2024-09-01,0.03303122263665824,0.027016606380292862,22,4.343160526296048,2.9743928206980423
2024-10-01,0.004076645005819596,-0.018729422440917798,22,4.360866049965045,2.918684161053956
2024-11-01,0.06461443244133734,0.06599664568843121,22,4.642640934736233,3.1113075255074696
2024-12-01,-0.061718683486205204,-0.04613138170030996,23,4.356103248345148,2.9677786104612376
2025-01-01,0.03830400160260229,0.03495986656447772,23,4.522959434150862,3.0715317546758736
2025-02-01,0.009366400779621094,-0.002110180627685374,23,4.565323284921087,3.065050267869836
2025-03-01,-0.07467889950245167,-0.03446574827248377,24,4.224389966130262,2.9594110168949253
2025-04-01,-0.01590954604645248,-0.03522089334201515,24,4.157181839445942,2.8551779171136844
2025-05-01,0.10269772068106016,0.04383926164352612,24,4.584114938813737,2.9803468088608494
2025-06-01,0.08637906022975869,0.035084804826279424,25,4.980086479213666,3.084911694964357
2025-07-01,0.04152709340514014,0.007211210045332962,25,5.186894995601648,3.1071576411680493
2025-08-01,0.00494204211181294,0.04188861328311334,25,5.212528849099463,3.2373121660086084
2025-09-01,0.09159550945217007,0.029956513614711005,26,5.689973084566862,3.334290751984715
2025-10-01,0.023350339380901045,0.021407213423679336,26,5.822835887159691,3.405668625729052
2025-11-01,-0.002236213113981737,0.006797989335113983,26,5.809814785188261,3.4288203247256903
